월,날짜,내용,금액,대분류,소분류,지출방법,태그
4월,2026-04-28,선물,-62700,생활용품,생필품/소모품,M본인,
4월,2026-04-24,⚠️확인필요,2000,⚠️확인필요,,M가족,
4월,2026-04-24,여행,237400,예비비,여행,M가족,
4월,2026-04-24,헤어,16000,의복/미용,헤어,M본인,
4월,2026-04-25,여행,6000,예비비,여행,M가족,
4월,2026-04-25,앱/소프트웨어,17700,구독,앱/소프트웨어,M가족,
4월,2026-04-25,여행,1000,예비비,여행,M가족,
4월,2026-04-25,⚠️확인필요,118600,⚠️확인필요,,M가족,
4월,2026-04-25,외식(가족),6200,식비,외식(가족),M가족,
4월,2026-04-25,여행,20000,예비비,여행,M가족,
4월,2026-04-25,대중교통,13800,교통비,대중교통,M가족,
4월,2026-04-25,카페/디저트,1400,식비,카페/디저트,M가족,
4월,2026-04-25,외식(가족),24800,식비,외식(가족),M가족,
4월,2026-04-25,카페/디저트,1000,식비,카페/디저트,M가족,
4월,2026-04-25,⚠️확인필요,25500,⚠️확인필요,,M본인,
4월,2026-04-25,외식(가족),33000,식비,외식(가족),M본인,
4월,2026-04-26,여행,20000,예비비,여행,M가족,
4월,2026-04-26,카페/디저트,6400,식비,카페/디저트,M본인,
4월,2026-04-26,여행,118200,예비비,여행,M본인,
4월,2026-04-26,카페/디저트,200,식비,카페/디저트,M가족,
4월,2026-04-26,주유비,15000,자동차,주유비,M본인,
4월,2026-04-26,카페/디저트,10200,식비,카페/디저트,M가족,
4월,2026-04-26,외식(가족),18500,식비,외식(가족),M가족,
4월,2026-04-26,카페/디저트,5200,식비,카페/디저트,M가족,
4월,2026-04-26,여행,1000,예비비,여행,M본인,
4월,2026-04-26,카페/디저트,7000,식비,카페/디저트,M가족,
4월,2026-04-27,⚠️확인필요,52000,⚠️확인필요,,M본인,
4월,2026-04-27,카페/디저트,5500,식비,카페/디저트,M본인,
4월,2026-04-27,선물,5990,생활용품,생필품/소모품,M본인,
4월,2026-04-27,⚠️확인필요,76580,⚠️확인필요,,M가족,
4월,2026-04-27,선물,10840,생활용품,생필품/소모품,M본인,
4월,2026-04-27,카페/디저트,1300,식비,카페/디저트,M본인,
4월,2026-04-27,외식(가족),18000,식비,외식(가족),M가족,
4월,2026-04-28,카페/디저트,4500,식비,카페/디저트,M본인,
4월,2026-04-28,⚠️확인필요,10000,⚠️확인필요,,M가족,
4월,2026-04-28,카페/디저트,1300,식비,카페/디저트,M본인,
4월,2026-04-28,⚠️확인필요,8500,⚠️확인필요,,M가족,
4월,2026-04-29,카페/디저트,4000,식비,카페/디저트,M가족,
4월,2026-04-29,앱/소프트웨어,4900,구독,앱/소프트웨어,M가족,
4월,2026-04-30,외식(가족),9500,식비,외식(가족),M가족,
4월,2026-04-30,식재료(오프),6000,식비,식재료(오프),M본인,
4월,2026-04-30,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-05,해외구독,44073,구독,해외구독,M본인,
4월,2026-04-10,⚠️확인필요,30650,⚠️확인필요,,M본인,
4월,2026-04-13,⚠️확인필요,160081,⚠️확인필요,,M가족,
5월,2026-05-01,선물,12800,생활용품,생필품/소모품,M본인,
5월,2026-05-01,외식(가족),12000,식비,외식(가족),M가족,
5월,2026-05-01,식재료(온라인),62766,식비,식재료(온라인),M가족,
5월,2026-05-01,구독(Adobe),19000,고정지출,구독(Adobe),M가족,
5월,2026-05-02,생필품/소모품,52800,생활용품,생필품/소모품,M가족,
5월,2026-05-02,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-02,외식(가족),800,식비,외식(가족),M본인,
5월,2026-05-03,여행,25000,예비비,여행,M본인,
5월,2026-05-03,여행,40000,예비비,여행,M본인,
5월,2026-05-03,카페/디저트,3900,식비,카페/디저트,M본인,
5월,2026-05-03,카페/디저트,9000,식비,카페/디저트,M본인,
5월,2026-05-03,⚠️확인필요,5000,⚠️확인필요,,M본인,
5월,2026-05-04,생필품/소모품,52500,생활용품,생필품/소모품,M본인,
5월,2026-05-04,카페/디저트,1100,식비,카페/디저트,M본인,
5월,2026-05-04,식재료(온라인),50980,식비,식재료(온라인),M가족,
5월,2026-05-05,생필품/소모품,23000,생활용품,생필품/소모품,M가족,
5월,2026-05-05,생필품/소모품,39800,생활용품,생필품/소모품,M본인,
5월,2026-05-05,의류,29900,의복/미용,의류,M가족,
5월,2026-05-05,생필품/소모품,47700,생활용품,생필품/소모품,M본인,
5월,2026-05-05,의류,166300,의복/미용,의류,M본인,
5월,2026-05-05,생필품/소모품,10400,생활용품,생필품/소모품,M가족,
5월,2026-05-05,생필품/소모품,3000,생활용품,생필품/소모품,M본인,
5월,2026-05-05,생필품/소모품,3000,생활용품,생필품/소모품,M본인,
5월,2026-05-05,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-06,카페/디저트,5200,식비,카페/디저트,M가족,
5월,2026-05-06,전기세,39470,고정지출,전기세,M본인,
5월,2026-05-07,카페/디저트,2600,식비,카페/디저트,M본인,
5월,2026-05-07,카페/디저트,1800,식비,카페/디저트,M본인,
5월,2026-05-07,⚠️확인필요,30800,⚠️확인필요,,M가족,
5월,2026-05-07,⚠️확인필요,5000,⚠️확인필요,,M가족,
5월,2026-05-15,⚠️확인필요,-5000,⚠️확인필요,,M가족,
5월,2026-05-07,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-08,식재료(온라인),70280,식비,식재료(온라인),M가족,
5월,2026-05-08,외식(가족),5000,식비,외식(가족),M본인,
5월,2026-05-08,생필품/소모품,3600,생활용품,생필품/소모품,M본인,
5월,2026-05-08,선물,7740,생활용품,생필품/소모품,M본인,
5월,2026-05-08,약국,6500,건강,약국,M본인,
5월,2026-05-08,생필품/소모품,11000,생활용품,생필품/소모품,M본인,
5월,2026-05-08,외식(가족),14000,식비,외식(가족),M본인,
5월,2026-05-08,식재료(오프),3000,식비,식재료(오프),M본인,
5월,2026-05-09,카페/디저트,12600,식비,카페/디저트,M본인,
5월,2026-05-09,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-10,생필품/소모품,12400,생활용품,생필품/소모품,M가족,
5월,2026-05-10,⚠️확인필요,7535,⚠️확인필요,,M가족,
5월,2026-05-10,식재료(오프),9900,식비,식재료(오프),M본인,
5월,2026-05-10,외식(가족),140000,식비,외식(가족),M본인,
5월,2026-05-10,⚠️확인필요,3000,⚠️확인필요,,M가족,
5월,2026-05-11,대중교통,30000,교통비,대중교통,M가족,
5월,2026-05-11,카페/디저트,11300,식비,카페/디저트,M가족,
5월,2026-05-11,생필품/소모품,36390,생활용품,생필품/소모품,M가족,
5월,2026-05-12,생필품/소모품,-5650,생활용품,생필품/소모품,M가족,
5월,2026-05-11,통신(브),11890,고정지출,통신(브),M본인,
5월,2026-05-12,카페/디저트,1800,식비,카페/디저트,M본인,
5월,2026-05-12,카페/디저트,600,식비,카페/디저트,M본인,
5월,2026-05-12,식재료(오프),11000,식비,식재료(오프),M가족,
5월,2026-05-12,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-12,외식(가족),8300,식비,외식(가족),M가족,
5월,2026-05-12,외식(가족),4100,식비,외식(가족),M가족,
5월,2026-05-13,선물,19310,생활용품,생필품/소모품,M본인,
5월,2026-05-13,외식(가족),32000,식비,외식(가족),M가족,
5월,2026-05-13,⚠️확인필요,10000,⚠️확인필요,,M본인,
5월,2026-05-13,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-14,카페/디저트,2300,식비,카페/디저트,M본인,
5월,2026-05-14,생필품/소모품,13460,생활용품,생필품/소모품,M본인,
5월,2026-05-16,생필품/소모품,-13460,생활용품,생필품/소모품,M본인,
5월,2026-05-14,외식(가족),8400,식비,외식(가족),M가족,
5월,2026-05-14,⚠️확인필요,41500,⚠️확인필요,,M가족,
5월,2026-05-15,주유비,60000,교통비,주유비,M본인,
5월,2026-05-15,주유비,4000,교통비,주유비,M본인,
5월,2026-05-15,식재료(온라인),60103,식비,식재료(온라인),M가족,
5월,2026-05-15,카페/디저트,1800,식비,카페/디저트,M가족,
5월,2026-05-15,⚠️확인필요,5000,⚠️확인필요,,M가족,
5월,2026-05-15,카페/디저트,1800,식비,카페/디저트,M본인,
5월,2026-05-15,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-16,의류,45200,의복/미용,의류,M본인,
5월,2026-05-16,식재료(오프),1200,식비,식재료(오프),M본인,
5월,2026-05-16,외식(가족),23400,식비,외식(가족),M본인,
5월,2026-05-17,카페/디저트,4500,식비,카페/디저트,M본인,
5월,2026-05-17,카페/디저트,7000,식비,카페/디저트,M가족,
5월,2026-05-17,헤어,23000,의복/미용,헤어,M가족,
5월,2026-05-18,카페/디저트,2900,식비,카페/디저트,M가족,
5월,2026-05-18,⚠️확인필요,54000,⚠️확인필요,,M본인,
5월,2026-05-18,카페/디저트,2500,식비,카페/디저트,M본인,
5월,2026-05-18,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-18,⚠️확인필요,5000,⚠️확인필요,,M가족,
5월,2026-05-19,카페/디저트,4000,식비,카페/디저트,M본인,
5월,2026-05-19,카페/디저트,8300,식비,카페/디저트,M가족,
5월,2026-05-19,외식(가족),24000,식비,외식(가족),M가족,
5월,2026-05-19,카페/디저트,5800,식비,카페/디저트,M본인,
5월,2026-05-19,인터넷(용산),36900,고정지출,인터넷(용산),M본인,
5월,2026-05-19,인터넷,23100,고정지출,인터넷,M본인,
5월,2026-05-19,통신(브),26650,고정지출,통신(브),M본인,
5월,2026-05-20,생필품/소모품,9990,생활용품,생필품/소모품,M본인,
5월,2026-05-20,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-20,식재료(온라인),35120,식비,식재료(온라인),M가족,
5월,2026-05-21,카페/디저트,1000,식비,카페/디저트,M본인,
5월,2026-05-21,대중교통,34100,교통비,대중교통,M가족,
5월,2026-05-21,카페/디저트,4500,식비,카페/디저트,M가족,
5월,2026-05-21,대중교통,30000,교통비,대중교통,M가족,
5월,2026-05-21,카페/디저트,1400,식비,카페/디저트,M본인,
5월,2026-05-21,카페/디저트,1800,식비,카페/디저트,M본인,
5월,2026-05-21,대중교통,4000,교통비,대중교통,M가족,
5월,2026-05-22,⚠️확인필요,68607,⚠️확인필요,,M가족,
5월,2026-05-22,⚠️확인필요,49000,⚠️확인필요,,M가족,
5월,2026-05-22,생필품/소모품,9480,생활용품,생필품/소모품,M본인,
5월,2026-05-22,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-23,생필품/소모품,13900,생활용품,생필품/소모품,M가족,
5월,2026-05-23,카페/디저트,15596,식비,카페/디저트,M가족,
5월,2026-05-23,생필품/소모품,30950,생활용품,생필품/소모품,M가족,
5월,2026-05-23,카페/디저트,49750,식비,카페/디저트,M가족,
5월,2026-05-23,카페/디저트,4000,식비,카페/디저트,M본인,
5월,2026-05-23,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-24,카페/디저트,9900,식비,카페/디저트,M가족,
5월,2026-05-24,멤버십,4900,구독,멤버십,M가족,
5월,2026-05-25,카페/디저트,2954,식비,카페/디저트,M가족,
5월,2026-05-25,카페/디저트,2900,식비,카페/디저트,M본인,
5월,2026-05-26,카페/디저트,4900,식비,카페/디저트,M가족,
5월,2026-05-26,카페/디저트,1500,식비,카페/디저트,M본인,
5월,2026-05-26,외식(가족),24000,식비,외식(가족),M가족,
5월,2026-05-26,보험(주택화재),16000,고정지출,보험(주택화재),M본인,
5월,2026-05-26,카페/디저트,600,식비,카페/디저트,M본인,
5월,2026-05-26,주유비,60000,교통비,주유비,M본인,
5월,2026-05-27,식재료(온라인),42880,식비,식재료(온라인),M가족,
5월,2026-05-27,병원,2900,건강,병원,M본인,
5월,2026-05-27,뷰티,26465,의복/미용,뷰티,M가족,
5월,2026-05-28,식재료(오프),3000,식비,식재료(오프),M본인,
5월,2026-05-28,카페/디저트,2100,식비,카페/디저트,M본인,
5월,2026-05-29,외식(가족),25000,식비,외식(가족),M본인,
5월,2026-05-29,외식(가족),18000,식비,외식(가족),M가족,
5월,2026-05-29,⚠️확인필요,10000,⚠️확인필요,,M가족,
5월,2026-05-29,앱/소프트웨어,4900,구독,앱/소프트웨어,M가족,
5월,2026-05-29,생필품/소모품,14880,생활용품,생필품/소모품,M본인,
5월,2026-05-30,식재료(오프),13500,식비,식재료(오프),M본인,
5월,2026-05-30,카페/디저트,1100,식비,카페/디저트,M본인,
5월,2026-05-30,식재료(오프),35000,식비,식재료(오프),M본인,
5월,2026-05-31,약국,4000,건강,약국,M본인,
5월,2026-05-31,카페/디저트,4700,식비,카페/디저트,M본인,
5월,2026-05-31,식재료(온라인),38256,식비,식재료(온라인),M가족,
5월,2026-05-31,대중교통,1450,교통비,대중교통,M본인,
5월,2026-05-03,해외구독,44018,구독,해외구독,M본인,
5월,2026-05-10,⚠️확인필요,30192,⚠️확인필요,,M본인,
5월,2026-05-13,⚠️확인필요,167523,⚠️확인필요,,M가족,
5월,2026-05-31,해외구독,44321,구독,해외구독,M본인,
6월,2026-06-01,식재료(오프),600,식비,식재료(오프),M본인,
6월,2026-06-01,식재료(오프),3500,식비,식재료(오프),M본인,
6월,2026-06-01,식재료(오프),6000,식비,식재료(오프),M본인,
6월,2026-06-01,구독(Adobe),19000,고정지출,구독(Adobe),M가족,
6월,2026-06-01,생필품/소모품,8920,생활용품,생필품/소모품,M본인,
6월,2026-06-01,약국,2500,건강,약국,M본인,
6월,2026-06-02,카페/디저트,26700,식비,카페/디저트,M가족,
6월,2026-06-02,카페/디저트,21000,식비,카페/디저트,M본인,
6월,2026-06-02,식재료(오프),10000,식비,식재료(오프),M본인,
6월,2026-06-02,식재료(오프),13400,식비,식재료(오프),M본인,
6월,2026-06-03,생필품/소모품,37780,생활용품,생필품/소모품,M본인,
6월,2026-06-03,외식(가족),30500,식비,외식(가족),M본인,
6월,2026-06-04,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-04,생필품/소모품,11900,생활용품,생필품/소모품,M가족,
6월,2026-06-05,카페/디저트,4500,식비,카페/디저트,M본인,
6월,2026-06-05,식재료(오프),5000,식비,식재료(오프),M본인,
6월,2026-06-05,주유비,4000,교통비,주유비,M본인,
6월,2026-06-05,생필품/소모품,17570,생활용품,생필품/소모품,M가족,
6월,2026-06-05,식재료(온라인),70946,식비,식재료(온라인),M본인,
6월,2026-06-05,대중교통,30000,교통비,대중교통,M가족,
6월,2026-06-05,카페/디저트,2500,식비,카페/디저트,M가족,
6월,2026-06-05,⚠️확인필요,1000,⚠️확인필요,,M가족,
6월,2026-06-05,정비,520000,자동차,정비,M본인,
6월,2026-06-05,주유비,60000,교통비,주유비,M본인,
6월,2026-06-05,전기세,25780,고정지출,전기세,M본인,
6월,2026-06-06,생필품/소모품,30500,생활용품,생필품/소모품,M본인,
6월,2026-06-06,카페/디저트,1600,식비,카페/디저트,M본인,
6월,2026-06-06,⚠️확인필요,70000,⚠️확인필요,,M본인,
6월,2026-06-07,외식(가족),47000,식비,외식(가족),M본인,
6월,2026-06-07,⚠️확인필요,72359,⚠️확인필요,,M가족,
6월,2026-06-07,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-08,생필품/소모품,11570,생활용품,생필품/소모품,M본인,
6월,2026-06-08,⚠️확인필요,9900,⚠️확인필요,,M가족,
6월,2026-06-08,⚠️확인필요,11500,⚠️확인필요,,M본인,
6월,2026-06-09,카페/디저트,9300,식비,카페/디저트,M가족,
6월,2026-06-09,식재료(오프),4660,식비,식재료(오프),M본인,
6월,2026-06-09,외식(가족),1400,식비,외식(가족),M본인,
6월,2026-06-09,카페/디저트,500,식비,카페/디저트,M본인,
6월,2026-06-09,식재료(온라인),51370,식비,식재료(온라인),M본인,
6월,2026-06-09,⚠️확인필요,5000,⚠️확인필요,,M가족,
6월,2026-06-10,카페/디저트,13000,식비,카페/디저트,M가족,
6월,2026-06-11,카페/디저트,4000,식비,카페/디저트,M본인,
6월,2026-06-11,카페/디저트,7500,식비,카페/디저트,M본인,
6월,2026-06-11,통신(브),11890,고정지출,통신(브),M본인,
6월,2026-06-12,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-12,⚠️확인필요,1500,⚠️확인필요,,M가족,
6월,2026-06-12,생필품/소모품,8440,생활용품,생필품/소모품,M본인,
6월,2026-06-12,생필품/소모품,6000,생활용품,생필품/소모품,M본인,
6월,2026-06-12,책,14000,자기계발,책,M가족,
6월,2026-06-14,선물,21700,생활용품,생필품/소모품,M가족,
6월,2026-06-14,식재료(온라인),71451,식비,식재료(온라인),M본인,
6월,2026-06-14,생필품/소모품,15150,생활용품,생필품/소모품,M본인,
6월,2026-06-14,⚠️확인필요,10000,⚠️확인필요,,M가족,
6월,2026-06-15,생필품/소모품,28600,생활용품,생필품/소모품,M본인,
6월,2026-06-15,생필품/소모품,8900,생활용품,생필품/소모품,M본인,
6월,2026-06-15,⚠️확인필요,39900,⚠️확인필요,,M가족,
6월,2026-06-15,식재료(오프),300,식비,식재료(오프),M본인,
6월,2026-06-15,약국,3500,건강,약국,M본인,
6월,2026-06-15,병원,2900,건강,병원,M본인,
6월,2026-06-15,⚠️확인필요,18180,⚠️확인필요,,M가족,
6월,2026-06-15,⚠️확인필요,2500,⚠️확인필요,,M본인,
6월,2026-06-16,카페/디저트,600,식비,카페/디저트,M본인,
6월,2026-06-16,⚠️확인필요,16640,⚠️확인필요,,M본인,
6월,2026-06-16,⚠️확인필요,2595,⚠️확인필요,,M가족,
6월,2026-06-16,카페/디저트,1800,식비,카페/디저트,M본인,
6월,2026-06-17,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-17,⚠️확인필요,5500,⚠️확인필요,,M가족,
6월,2026-06-17,대중교통,30000,교통비,대중교통,M가족,
6월,2026-06-18,카페/디저트,4000,식비,카페/디저트,M본인,
6월,2026-06-18,약국,3300,건강,약국,M본인,
6월,2026-06-18,식재료(오프),3200,식비,식재료(오프),M본인,
6월,2026-06-18,⚠️확인필요,82300,⚠️확인필요,,M본인,
6월,2026-06-18,생필품/소모품,4000,생활용품,생필품/소모품,M본인,
6월,2026-06-19,⚠️확인필요,35000,⚠️확인필요,,M가족,
6월,2026-06-19,식재료(온라인),52946,식비,식재료(온라인),M본인,
6월,2026-06-19,인터넷(용산),36900,고정지출,인터넷(용산),M본인,
6월,2026-06-19,인터넷,23100,고정지출,인터넷,M본인,
6월,2026-06-19,통신(브),26590,고정지출,통신(브),M본인,
6월,2026-06-20,⚠️확인필요,32450,⚠️확인필요,,M본인,
6월,2026-06-20,외식(가족),37000,식비,외식(가족),M가족,
6월,2026-06-20,선물,46250,생활용품,생필품/소모품,M본인,
6월,2026-06-20,카페/디저트,3900,식비,카페/디저트,M본인,
6월,2026-06-20,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-21,카페/디저트,4500,식비,카페/디저트,M본인,
6월,2026-06-21,⚠️확인필요,2000,⚠️확인필요,,M가족,
6월,2026-06-22,카페/디저트,19600,식비,카페/디저트,M가족,
6월,2026-06-23,⚠️확인필요,30000,⚠️확인필요,,M가족,
6월,2026-06-23,보험(주택화재),16000,고정지출,보험(주택화재),M본인,
6월,2026-06-23,⚠️확인필요,31900,⚠️확인필요,,M가족,
6월,2026-06-23,카페/디저트,2000,식비,카페/디저트,M본인,
6월,2026-06-23,카페/디저트,3100,식비,카페/디저트,M가족,
6월,2026-06-24,멤버십,4900,구독,멤버십,M가족,
6월,2026-06-24,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-25,식재료(온라인),27210,식비,식재료(온라인),M본인,
6월,2026-06-25,외식(가족),28000,식비,외식(가족),M가족,
6월,2026-06-25,외식(가족),19000,식비,외식(가족),M본인,
6월,2026-06-25,선물,6900,생활용품,생필품/소모품,M본인,
6월,2026-06-26,카페/디저트,5200,식비,카페/디저트,M가족,
6월,2026-06-26,카페/디저트,4400,식비,카페/디저트,M본인,
6월,2026-06-27,⚠️확인필요,5300,⚠️확인필요,,M본인,
6월,2026-06-27,카페/디저트,13000,식비,카페/디저트,M가족,
6월,2026-06-27,외식(가족),34000,식비,외식(가족),M가족,
6월,2026-06-27,카페/디저트,5100,식비,카페/디저트,M가족,
6월,2026-06-27,식재료(오프),50940,식비,식재료(오프),M가족,
6월,2026-06-28,외식(가족),3900,식비,외식(가족),M본인,
6월,2026-06-28,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-28,앱/소프트웨어,4900,구독,앱/소프트웨어,M가족,
6월,2026-06-28,카페/디저트,6500,식비,카페/디저트,M가족,
6월,2026-06-29,카페/디저트,5200,식비,카페/디저트,M가족,
6월,2026-06-29,⚠️확인필요,16500,⚠️확인필요,,M가족,
6월,2026-06-29,생필품/소모품,6000,생활용품,생필품/소모품,M본인,
6월,2026-06-29,병원,2900,건강,병원,M본인,
6월,2026-06-30,생필품/소모품,5600,생활용품,생필품/소모품,M가족,
6월,2026-06-30,카페/디저트,1500,식비,카페/디저트,M가족,
6월,2026-06-30,카페/디저트,2900,식비,카페/디저트,M본인,
6월,2026-06-10,구독(Claude),31175,고정지출,구독(Claude),M본인,
6월,2026-06-13,구독(Claude),33882,고정지출,구독(Claude),M가족,
6월,2026-06-23,데이터관리,8626,자기계발,데이터관리,M본인,
7월,2026-07-20,관리비,50000,고정지출,관리비,현금(브),
7월,2026-07-22,이자,187890,고정지출,이자,현금(브),
7월,2026-07-25,보험(브/종신),39335,고정지출,보험(브/종신),현금(브),
8월,2026-08-20,관리비,50000,고정지출,관리비,현금(브),
8월,2026-08-25,보험(브/종신),39335,고정지출,보험(브/종신),현금(브),
9월,2026-09-20,관리비,50000,고정지출,관리비,현금(브),
9월,2026-09-25,보험(브/종신),39335,고정지출,보험(브/종신),현금(브),
10월,2026-10-20,관리비,50000,고정지출,관리비,현금(브),
10월,2026-10-25,보험(브/종신),39335,고정지출,보험(브/종신),현금(브),
11월,2026-11-20,관리비,50000,고정지출,관리비,현금(브),
11월,2026-11-25,보험(브/종신),39335,고정지출,보험(브/종신),현금(브),
12월,2026-12-20,관리비,50000,고정지출,관리비,현금(브),
12월,2026-12-25,보험(브/종신),39335,고정지출,보험(브/종신),현금(브),
7월,2026-07-18,래래향,18000,⚠️확인필요,,M가족,
7월,2026-07-01,이케아코리아,8900,생활용품,주방/욕실,M본인,
7월,2026-07-01,한국정보통신-컴포 즈커피부천카톨릭,2900,식비,카페/디저트,M본인,
7월,2026-07-01,버거킹송도현대아 울렛점,6400,식비,외식(가족),M본인,
7월,2026-07-01,Adobe 구독,19000,고정지출,구독(Adobe),M가족,
7월,2026-07-01,이케아코리아,700,생활용품,주방/욕실,M본인,
7월,2026-07-01,이케아코리아,10700,생활용품,주방/욕실,M본인,
7월,2026-07-01,위드아이스역곡점,600,식비,카페/디저트,M본인,
7월,2026-07-01,KCP-쿠팡,27220,생활용품,생필품/소모품,M가족,
7월,2026-07-01,네이버페이,16800,⚠️확인필요,,M가족,
7월,2026-07-01,커피투어,4330,식비,카페/디저트,M가족,
7월,2026-07-02,부천시청자동차세 (자동차,129170,세금,자동차세,M본인,
7월,2026-07-02,사랑방,24000,⚠️확인필요,,M가족,
7월,2026-07-02,GS25출판도시점,3300,식비,카페/디저트,M본인,
7월,2026-07-02,지에스네트웍스,2200,⚠️확인필요,,M본인,
7월,2026-07-02,리파크,6500,자동차,주차비,M본인,
7월,2026-07-02,모바일티머니선불 형,30000,교통비,대중교통,M가족,
7월,2026-07-02,케이에너지,109000,교통비,주유비,M본인,
7월,2026-07-02,네이버파이낸셜 (주)-오아시스마켓,56862,식비,식재료(온라인),M본인,
7월,2026-07-02,학교가는길,7500,식비,카페/디저트,M본인,
7월,2026-07-02,네이버파이낸셜 (주)-롯데쇼핑(주)e,13746,생활용품,생필품/소모품,M본인,
7월,2026-07-03,네이버파이낸셜 (주)-오아시스마켓,37342,식비,식재료(온라인),M본인,
7월,2026-07-03,샐러드리,9900,⚠️확인필요,,M가족,
7월,2026-07-03,본김밥,10000,식비,외식(가족),M가족,
7월,2026-07-03,한국정보통신-컴포 즈커피부천카톨릭,2900,식비,카페/디저트,M본인,
7월,2026-07-04,한국정보통신-컴포 즈커피부천카톨릭,1100,식비,카페/디저트,M본인,
7월,2026-07-04,카페복사골,5500,식비,카페/디저트,M가족,
7월,2026-07-04,옛날홍두깨손칼국 수,23000,식비,외식(가족),M본인,
7월,2026-07-04,카페복사골,4800,식비,카페/디저트,M본인,
7월,2026-07-05,카카오-주식회사무 신사페이먼츠,17003,의복/미용,의류,M본인,
7월,2026-07-05,한국정보통신-쿠팡,2300,생활용품,생필품/소모품,M가족,
7월,2026-07-05,위드아이스역곡점,2800,식비,카페/디저트,M가족,
7월,2026-07-06,컴포즈커피부천카 톨릭대점,2900,식비,카페/디저트,M본인,
7월,2026-07-06,네이버파이낸셜 (주)-오아시스마켓,55698,식비,식재료(온라인),M본인,
7월,2026-07-06,신세계프라퍼티부 천점,4000,생활용품,생필품/소모품,M본인,
7월,2026-07-06,한국전력 전기료,27890,고정지출,전기세,M본인,
7월,2026-07-07,KCP-쿠팡,0,생활용품,생필품/소모품,M가족,
7월,2026-07-09,KCP-쿠팡 -,0,생활용품,생필품/소모품,M가족,
7월,2026-07-07,KCP-쿠팡,26600,생활용품,생필품/소모품,M본인,
7월,2026-07-07,서촌전통순대국,33000,식비,외식(가족),M가족,
7월,2026-07-07,위드아이스역곡점,1000,식비,카페/디저트,M본인,
7월,2026-07-08,KCP-쿠팡,21900,생활용품,생필품/소모품,M본인,
7월,2026-07-08,신세기마트,2400,식비,마트,M가족,
7월,2026-07-08,한국정보통신-컴포 즈커피부천카톨릭,2900,식비,카페/디저트,M본인,
7월,2026-07-08,블랑제르베네,1300,식비,카페/디저트,M본인,
7월,2026-07-08,스페이스본휘트니 스,12000,건강,운동비,M가족,
7월,2026-07-08,리브포나우,10500,⚠️확인필요,,M가족,
7월,2026-07-09,네이버페이,24769,⚠️확인필요,,M가족,
7월,2026-07-09,밀다,4500,식비,카페/디저트,M본인,
7월,2026-07-09,유식당,23000,식비,외식(가족),M가족,
7월,2026-07-09,KCP-쿠팡,26130,생활용품,생필품/소모품,M본인,
7월,2026-07-10,컴포즈커피부천카 톨릭대점,2900,식비,카페/디저트,M본인,
7월,2026-07-10,황금정,16000,식비,외식(가족),M가족,
7월,2026-07-10,한국정보통신-쿠팡,34670,생활용품,생필품/소모품,M본인,
7월,2026-07-10,위드아이스역곡점,600,식비,카페/디저트,M본인,
7월,2026-07-11,하동마트,26800,식비,마트,M가족,
7월,2026-07-11,본지르르베이커리 서촌,30500,식비,카페/디저트,M가족,
7월,2026-07-12,파리바게뜨세곡지 구점,9100,식비,카페/디저트,M가족,
7월,2026-07-12,GS25세곡플러스점,3600,식비,카페/디저트,M가족,
7월,2026-07-13,한국정보통신-컴포 즈커피부천카톨릭,2900,식비,카페/디저트,M본인,
7월,2026-07-13,한국정보통신-쿠팡,5300,생활용품,생필품/소모품,M본인,
7월,2026-07-13,KT 통신 (69-3987),0,고정지출,통신(브),M본인,
7월,2026-07-14,모바일티머니선불 형,30000,교통비,대중교통,M가족,
7월,2026-07-14,한국정보통신-쿠팡,35700,생활용품,생필품/소모품,M본인,
7월,2026-07-14,한국정보통신-컴포 즈커피부천카톨릭,2900,식비,카페/디저트,M본인,
7월,2026-07-14,한국정보통신-쿠팡,30800,생활용품,생필품/소모품,M본인,
7월,2026-07-14,한국정보통신-쿠팡,7420,생활용품,생필품/소모품,M본인,
7월,2026-07-14,보쌈키친,24000,식비,외식(가족),M가족,
7월,2026-07-14,한국정보통신-쿠팡,33830,생활용품,생필품/소모품,M본인,
7월,2026-07-15,(주)다우데이타-솔 리드페이,27500,⚠️확인필요,,M본인,
